learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
100.0,0.002856216,0.0,100.0,79.0,39.306358381502896,50.000000000000014,22.22222222222224,100.0,0.0,0.0,0.0
200.0,0.008826847,0.0,200.0,81.0,44.37939110070259,53.658536585365866,25.490196078431392,41.0,0.0,1.0,1.0
300.0,0.011997303,0.0,300.0,79.0,36.61971830985915,48.78048780487806,21.25000000000003,141.0,0.0,0.0,0.0
400.0,0.015601116,0.0,400.0,77.25,33.18649045521292,46.153846153846146,18.018018018017994,83.0,0.0,1.0,0.0
500.0,0.018851748,0.0,500.0,78.0,37.67705382436263,48.11320754716982,23.61111111111113,183.0,0.0,0.0,2.0
600.0,0.022636148,0.0,600.0,80.16666666666666,41.50609516319309,50.826446280991725,26.993865030674826,283.0,0.0,0.0,0.0
700.0,0.026372926,0.0,700.0,80.0,43.01994301994305,51.724137931034484,30.00000000000001,383.0,0.0,0.0,2.0
800.0,0.029716684,0.0,800.0,80.125,44.112478031634446,52.537313432835816,32.05128205128205,483.0,0.0,0.0,1.0
900.0,0.033408359,0.0,900.0,80.11111111111111,44.6521087855759,53.14136125654449,32.95880149812733,186.0,0.0,1.0,0.0
1000.0,0.036613616,0.0,1000.0,80.5,46.1325966850829,54.86111111111113,34.7826086956522,286.0,0.0,0.0,0.0
1100.0,0.040735162,0.0,1100.0,81.5,49.459075510873134,57.17592592592592,38.94389438943894,386.0,0.0,0.0,0.0
1200.0,0.043902591,0.0,1200.0,81.6,50.028516335786634,57.009345794392516,40.45307443365695,486.0,0.0,0.0,0.0
1300.0,0.047209236,0.0,1300.0,83.0,54.652397287679854,60.0,45.33762057877813,586.0,0.0,0.0,0.0
1400.0,0.050420718,0.0,1400.0,83.89999999999999,58.29145207920996,62.64501160092807,50.15479876160989,686.0,0.0,0.0,1.0
1500.0,0.054707491,0.0,1500.0,83.8,57.99387021661679,62.67281105990783,49.845201238390075,154.0,0.0,1.0,0.0
1600.0,0.058084527,0.0,1600.0,83.39999999999999,58.38681212899084,62.612612612612594,50.88757396449702,254.0,0.0,0.0,0.0
1700.0,0.061069629,0.0,1700.0,84.3,60.0114107566758,64.47963800904976,52.279635258358645,354.0,0.0,0.0,0.0
1800.0,0.064270085,0.0,1800.0,85.1,61.84652572926909,66.21315192743764,54.01234567901233,454.0,0.0,0.0,0.0
1900.0,0.067343491,0.0,1900.0,85.9,63.38385149944427,67.4364896073903,55.52050473186119,554.0,0.0,0.0,0.0
2000.0,0.070471095,0.0,2000.0,85.3,62.22245065789473,66.7420814479638,54.62962962962962,654.0,0.0,0.0,1.0
2100.0,0.074304211,0.0,2100.0,84.3,59.68156137647663,64.15525114155251,51.69230769230768,145.0,0.0,1.0,0.0
2200.0,0.077981722,0.0,2200.0,83.8,59.045196911704465,63.75838926174495,51.05740181268881,245.0,0.0,0.0,1.0
2300.0,0.08126548,0.0,2300.0,83.3,58.00854915765651,63.215859030836995,50.149253731343265,345.0,0.0,0.0,0.0
2400.0,0.084700689,0.0,2400.0,84.1,59.386973180076616,64.66666666666666,51.076923076923066,445.0,0.0,0.0,0.0
2500.0,0.087860945,0.0,2500.0,84.5,60.533686408310814,64.93212669683257,52.59938837920488,545.0,0.0,0.0,1.0
2600.0,0.091522892,0.0,2600.0,84.7,60.75151863405024,65.84821428571428,52.77777777777777,645.0,0.0,0.0,0.0
2700.0,0.094948702,0.0,2700.0,84.6,60.94562312019111,65.54809843400446,53.19148936170212,745.0,0.0,0.0,0.0
2800.0,0.098461014,0.0,2800.0,84.7,61.419363949043294,65.92427616926503,53.77643504531721,845.0,0.0,0.0,0.0
2900.0,0.101607134,0.0,2900.0,84.1,60.729492891791224,65.05494505494505,53.50877192982455,945.0,0.0,0.0,0.0
3000.0,0.104751864,0.0,3000.0,84.89999999999999,62.51725199328785,65.36697247706422,55.192878338278916,1045.0,0.0,0.0,0.0
3100.0,0.107848745,0.0,3100.0,85.7,64.4214884257877,66.8213457076566,57.44047619047619,1145.0,0.0,0.0,0.0
3200.0,0.110879036,0.0,3200.0,86.7,66.71138520683992,68.48341232227489,59.939759036144565,1245.0,0.0,0.0,0.0
3300.0,0.113910689,0.0,3300.0,87.1,67.82079425264418,69.85981308411215,61.14457831325301,1345.0,0.0,0.0,0.0
3400.0,0.116922431,0.0,3400.0,86.8,66.85598927339288,69.1588785046729,60.12084592145014,1445.0,0.0,0.0,0.0
3500.0,0.119907997,0.0,3500.0,87.2,67.74193548387096,70.23255813953489,60.97560975609756,1545.0,0.0,0.0,0.0
3600.0,0.122936513,0.0,3600.0,87.3,68.24618954274511,70.60185185185186,61.631419939577036,1645.0,0.0,0.0,0.0
3700.0,0.126127457,0.0,3700.0,87.6,68.93087118839418,71.0955710955711,62.31003039513677,1745.0,0.0,0.0,0.0
3800.0,0.129167923,0.0,3800.0,87.1,67.76676128413224,69.43127962085308,61.14457831325301,1845.0,0.0,0.0,0.0
3900.0,0.132134463,0.0,3900.0,87.7,69.1358024691358,70.71428571428572,62.5,1945.0,0.0,0.0,0.0
4000.0,0.135123316,0.0,4000.0,88.2,70.02596056635694,72.16981132075472,63.2398753894081,2045.0,0.0,0.0,0.0
4100.0,0.138189257,0.0,4100.0,88.3,70.0153767298821,72.59953161592506,63.09148264984227,2145.0,0.0,0.0,0.0
4200.0,0.141183311,0.0,4200.0,87.7,68.61316103744986,71.85354691075516,61.6822429906542,2245.0,0.0,0.0,0.0
4300.0,0.144241628,0.0,4300.0,87.9,69.02804369861471,71.72897196261682,62.06896551724137,2345.0,0.0,0.0,0.0
4400.0,0.147294258,0.0,4400.0,87.6,67.93014979723577,70.26378896882494,60.759493670886066,2445.0,0.0,0.0,0.0
4500.0,0.150301848,0.0,4500.0,87.8,67.84599814455596,70.09803921568628,60.3896103896104,2545.0,0.0,0.0,0.0
4600.0,0.153280002,0.0,4600.0,87.5,67.30419134110362,69.36274509803921,59.935897435897445,2645.0,0.0,0.0,0.0
4700.0,0.15627998,0.0,4700.0,87.0,65.73699719043378,67.33668341708542,58.19935691318329,2745.0,0.0,0.0,0.0
4800.0,0.159330408,0.0,4800.0,87.0,65.91880285862595,67.58104738154613,58.4664536741214,2845.0,0.0,0.0,0.0
4900.0,0.162544716,0.0,4900.0,86.8,65.50913224112251,67.96116504854369,58.09523809523809,2945.0,0.0,0.0,0.0
5000.0,0.165782323,0.0,5000.0,87.0,66.52935118434603,68.75,59.374999999999986,3045.0,0.0,0.0,0.0
